vote,age,gender,degree,locality,katz_centrality
0,17,M,11,"Milanovac, Croatia",0.00373
0,22,F,18,"Zagreb, Croatia",0.00478
0,26,F,1,"Poznan, Poland",0.0027
0,30,M,6,"Vinkovci, Croatia",0.00317
0,21,M,2,"Split, Croatia",0.00293
0,20,F,17,"Zagreb, Croatia",0.00563
0,18,F,13,"Zagreb, Croatia",0.00344
0,17,F,4,"Zlatari, Serbia",0.00294
0,29,F,24,"Zagreb, Croatia",0.00684
0,23,M,14,"Osijek, Croatia",0.00467
0,18,M,11,"Split, Croatia",0.00389
0,25,M,3,"Bangkok, Thailand",0.0035
0,21,M,5,"10450, Klinca Sela, Croatia",0.00311
0,23,F,7,"Zagreb, Croatia",0.00367
0,25,F,20,unkown,0.01206
0,16,F,4,"Vukovar, Croatia",0.00302
0,22,M,13,"Ivanic-Grad, Croatia",0.00454
0,22,F,6,"Sesvete, Croatia",0.00357
0,24,M,6,"Velika Gorica, Croatia",0.00463
0,27,F,21,"Jaksic, Croatia",0.00505
0,24,F,2,"Heresin, Croatia",0.00273
0,22,F,58,"Zagreb, Croatia",0.03663
0,19,F,9,"Trski Vrh, Croatia",0.00366
0,23,M,11,"Zagreb, Croatia",0.00423
0,29,F,3,"Sibenik, Croatia",0.00312
0,21,F,6,"Zagreb, Croatia",0.00314
0,26,F,1,"Siroki Brijeg, Bosnia and Herzegovina",0.00272
0,19,M,12,"Posusje, Bosnia and Herzegovina",0.00487
0,19,F,29,"Pula, Croatia",0.00551
0,22,M,42,"Rijeka, Croatia",0.00903
0,22,M,4,unkown,0.00296
0,29,M,6,"Ivankovo, Croatia",0.00311
0,56,F,21,"Koprivnica, Croatia",0.00542
0,20,F,27,"Rovinj, Croatia",0.00805
0,30,F,8,"Sesvete, Croatia",0.00308
0,24,M,2,"Split, Croatia",0.00271
0,49,M,2,"Zagreb, Croatia",0.00272
0,31,M,4,"Zagreb, Croatia",0.0036
0,30,F,5,unkown,0.0029
0,23,F,1,"Cepin, Croatia",0.00265
0,24,F,11,"Osijek, Croatia",0.00433
0,26,M,7,"Zagreb, Croatia",0.00321
0,21,F,13,"Pozega, Croatia",0.00374
0,48,M,2,"Bibinje, Croatia",0.00279
0,33,M,5,"Zagreb, Croatia",0.0037
0,14,F,1,"Vinkovci, Croatia",0.00265
0,33,F,2,"Rijeka, Croatia",0.00277
0,30,M,3,"Frankfurt, Germany",0.00284
0,20,M,4,unkown,0.00396
0,108,F,2,"Kathmandu 44600, Nepal",0.00276
0,28,M,1,unkown,0.00273
0,32,F,2,"Zagreb, Croatia",0.00275
0,21,F,1,"Linz, Austria",0.00266
0,18,F,3,"21260, Imotski, Croatia",0.00278
0,18,F,15,"Zagreb, Croatia",0.00697
0,23,F,16,"Zagreb, Croatia",0.00642
0,34,M,2,"Zagreb, Croatia",0.00271
0,30,M,2,unkown,0.00271
0,26,F,1,"Zagreb, Croatia",0.00266
0,19,F,11,"Siroki Brijeg, Bosnia and Herzegovina",0.00498
0,57,F,2,"Zagreb, Croatia",0.00272
0,27,F,1,unkown,0.00275
0,39,F,2,"Split, Croatia",0.00271
0,23,F,1,"Zagreb, Croatia",0.00267
0,44,F,1,"Zagreb, Croatia",0.00278
0,20,F,1,unkown,0.00298
0,16,M,17,"Pozega, Croatia",0.00392
0,20,F,3,"Dugi Rat, Croatia",0.00277
0,16,M,14,"Dugo Selo, Croatia",0.00582
0,23,M,32,"Zagreb, Croatia",0.00869
0,41,F,2,"Zagreb, Croatia",0.00281
0,18,F,1,"Madrid, Spain",0.00281
0,24,M,1,"Zagreb, Croatia",0.0027
0,20,F,7,"Mainz, Germany",0.00317
0,23,F,13,"52000, Pazin, Croatia",0.00527
0,38,F,2,"Zagreb, Croatia",0.00278
0,42,M,1,"Zadar, Croatia",0.00337
0,53,F,2,"Koprivnica, Croatia",0.00272
0,28,M,4,"Zagvozd, Croatia",0.00296
0,20,M,13,"Sveti Kriz, Croatia",0.00571
0,39,F,20,"Sesvete, Croatia",0.00465
0,15,M,4,"Posusje, Bosnia and Herzegovina",0.00292
0,19,F,3,"Rijeka, Croatia",0.00288
0,20,M,3,"Cokadinci, Croatia",0.00277
0,22,M,4,"Split, Croatia",0.00288
0,19,M,4,"Brestovac, Croatia",0.0029
0,40,F,1,"Pribislavec, Croatia",0.00267
0,21,M,2,"Okrug Donji, Croatia",0.00272
0,19,F,4,"Saint-Tropez, France",0.00284
0,20,F,6,unkown,0.00355
0,25,F,1,"Vinkovci, Croatia",0.00266
0,34,F,6,"Hvar, Croatia",0.00349
0,18,M,1,"Sesvete, Croatia",0.00265
0,17,F,2,"Varazdin, Croatia",0.003
0,19,M,24,"Zagreb, Croatia",0.00654
0,23,F,4,"Osijek, Croatia",0.00287
0,18,F,2,unkown,0.00271
0,21,F,7,"Zagreb, Croatia",0.00358
0,19,F,8,"34310, Buk, Croatia",0.00316
0,26,F,16,unkown,0.00607
0,19,F,1,"Bjelovar, Croatia",0.00266
0,23,F,2,unkown,0.00272
0,29,F,9,unkown,0.00483
0,18,F,2,"Split, Croatia",0.00271
0,15,M,9,"Pozega, Croatia",0.00326
0,20,F,3,"Split, Croatia",0.00318
0,20,M,6,"Kehrsatz, Switzerland",0.00324
0,23,F,3,unkown,0.00284
0,19,F,3,unkown,0.00282
0,20,F,5,"Pozega, Serbia",0.00307
0,19,F,7,"Split, Croatia",0.00306
0,45,F,1,"Rijeka, Croatia",0.00275
0,23,M,1,"Split, Croatia",0.0027
0,19,F,2,"Santiago, Santiago Metropolitan Region, Chile",0.00271
0,25,M,6,"Osijek, Croatia",0.00336
0,27,F,6,"34310, Pleternica, Croatia",0.00303
0,36,M,2,"Makarska, Croatia",0.00276
0,42,F,30,"Condom, France",0.01282
0,24,F,24,"Rijeka, Croatia",0.01556
0,40,F,1,"Zagreb, Croatia",0.0028
0,20,M,7,"Split, Croatia",0.00302
0,25,F,2,"Ladimirevci, Croatia",0.00273
0,21,F,3,"22300, Knin, Croatia",0.00279
0,16,M,8,"Zagreb, Croatia",0.00365
0,49,F,18,"Split, Croatia",0.00854
0,24,F,3,"Zagreb, Croatia",0.00331
0,41,M,2,"Vienna, Austria",0.00284
0,43,M,1,"New York, NY, USA",0.00269
0,31,F,1,"Vukovar, Croatia",0.00276
0,20,M,11,unkown,0.00473
0,20,M,6,"Osijek, Croatia",0.00311
0,20,F,23,"Zagreb, Croatia",0.00676
0,25,F,4,unkown,0.00285
0,17,M,6,"34350, Caglin, Croatia",0.00303
0,25,F,3,"Zagreb, Croatia",0.00295
0,20,M,2,"Sisak, Croatia",0.0028
0,22,M,8,unkown,0.00318
0,28,F,9,"Osijek, Croatia",0.0034
0,37,M,2,"Osijek, Croatia",0.00309
0,41,M,2,"Zagreb, Croatia",0.00296
0,23,F,1,"Split, Croatia",0.00266
0,18,M,2,"Los Angeles, CA, USA",0.00342
0,25,M,5,"Umag, Croatia",0.00347
0,43,F,1,"Zagreb, Croatia",0.00276
0,22,F,3,"Zagreb, Croatia",0.00288
0,62,M,3,"Tugare, Croatia",0.00294
0,23,F,5,"Zagreb, Croatia",0.0029
0,39,M,1,"Karlovac, Croatia",0.00266
0,16,F,12,"Cakovec, Croatia",0.00383
0,21,M,33,"Zagreb, Croatia",0.00949
